Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
17;21101269349;"Energy Materials and Devices";journal;"30053064, 30053315";"Tsinghua University Press";Yes;Yes;3,171;Q1;10;25;20;1812;220;19;11,00;72,48;35,25;0;17;China;Asiatic Region;"Tsinghua University Press";"2023-2024";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Engineering; Materials Science"
18;21100869486;"Computational Visual Media";journal;"20960662, 20960433";"Institute of Electrical and Electronics Engineers Inc.";Yes;Yes;3,166;Q1;31;59;137;3507;2768;131;19,85;59,44;30,28;0;1;China;Asiatic Region;"Institute of Electrical and Electronics Engineers Inc.";"2015-2024";"Artificial Intelligence (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1)";"Computer Science"
19;21100201945;"International Journal of Mining Science and Technology";journal;"20952686";"China University of Mining and Technology";Yes;Yes;3,137;Q1;82;114;337;5186;4384;337;14,49;45,49;27,57;0;17;China;Asiatic Region;"China University of Mining and Technology";"2012-2025";"Energy Engineering and Power Technology (Q1); Geochemistry and Petrology (Q1); Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences; Energy"
20;26447;"Journal of the European Mathematical Society";journal;"14359855, 14359863";"European Mathematical Society Publishing House";Yes;Yes;3,043;Q1;68;93;276;4459;670;276;2,35;47,95;14,36;0;0;Germany;Western Europe;"European Mathematical Society Publishing House";"2002-2025";"Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1)";"Mathematics"
21;21101048264;"Nano Materials Science";journal;"20966482, 25899651";"KeAi Communications Co.";Yes;Yes;3,030;Q1;44;163;116;15182;1889;110;16,30;93,14;32,86;1;62;China;Asiatic Region;"KeAi Communications Co.";"2019-2025";"Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)";"Chemical Engineering; Engineering; Materials Science"
22;21100381006;"Journal of Rock Mechanics and Geotechnical Engineering";journal;"25890417, 16747755";"Chinese Academy of Sciences";Yes;Yes;2,719;Q1;87;437;498;25818;5703;493;10,81;59,08;25,40;0;67;China;Asiatic Region;"Chinese Academy of Sciences";"2013-2025";"Geotechnical Engineering and Engineering Geology (Q1)";"Earth and Planetary Sciences"
23;21100398887;"Journal of Stroke";journal;"22876391, 22876405";"Korean Stroke Society";Yes;Yes;2,702;Q1;54;48;150;1983;866;101;6,12;41,31;22,05;0;36;South Korea;Asiatic Region;"Korean Stroke Society";"2015-2025";"Cardiology and Cardiovascular Medicine (Q1); Neurology (clinical) (Q1)";"Medicine"
24;21101241968;"Opto-Electronic Science";journal;"20970382";"Editorial Office of Opto-Electronic Journals, Institute of Optics and Electronics, Chinese Academy of Sciences";Yes;Yes;2,681;Q1;22;26;52;1809;919;50;17,67;69,58;33,33;0;3;China;Asiatic Region;"Editorial Office of Opto-Electronic Journals, Institute of Optics and Electronics, Chinese Academy of Sciences";"2022-2025";"Atomic and Molecular Physics, and Optics (Q1); Condensed Matter Physics (Q1); Statistical and Nonlinear Physics (Q1); Surfaces and Interfaces (Q1)";"Physics and Astronomy"
25;21100895361;"Green Energy and Environment";journal;"24680257, 20962797";"KeAi Publishing Communications Ltd.";Yes;Yes;2,664;Q1;68;166;358;13755;4587;336;14,13;82,86;35,54;0;100;China;Asiatic Region;"KeAi Publishing Communications Ltd.";"2016-2025";"Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
26;21101111801;"Satellite Navigation";journal;"26629291, 26621363";"Springer International Publishing";Yes;Yes;2,658;Q1;31;31;88;1582;956;88;10,48;51,03;20,93;0;2;China;Asiatic Region;"Springer International Publishing";"2020-2025";"Aerospace Engineering (Q1); Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
27;21101048251;"CCS Chemistry";journal;"20965745";"Chinese Chemical Society";Yes;Yes;2,624;Q1;59;231;872;13915;7145;835;8,75;60,24;35,04;0;77;China;Asiatic Region;"Chinese Chemical Society";"2019-2025";"Chemistry (miscellaneous) (Q1)";"Chemistry"
28;21003;"Environmental Health Perspectives";journal;"15529924, 00916765";"Public Health Services, US Dept of Health and Human Services";Yes;Yes;2,572;Q1;340;248;736;13058;4719;477;5,80;52,65;51,97;0;145;United States;Northern America;"Public Health Services, US Dept of Health and Human Services";"1972-2025";"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)";"Environmental Science; Medicine"
29;23200;"Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire";journal;"18731430, 02941449";"European Mathematical Society Publishing House";Yes;Yes;2,562;Q1;79;37;138;1395;308;138;2,30;37,70;15,29;0;0;Germany;Western Europe;"European Mathematical Society Publishing House";"1984-2024";"Analysis (Q1); Applied Mathematics (Q1); Mathematical Physics (Q1)";"Mathematics"
30;21101087332;"SciPost Physics Lecture Notes";journal;"25901990";"SciPost Foundation";Yes;Yes;2,462;Q1;20;12;57;1821;411;57;6,58;151,75;16,28;0;0;Netherlands;Western Europe;"SciPost Foundation";"2018-2024";"Atomic and Molecular Physics, and Optics (Q1); Condensed Matter Physics (Q1); Nuclear and High Energy Physics (Q1); Statistical and Nonlinear Physics (Q1)";"Physics and Astronomy"
31;21101160754;"Materials Futures";journal;"27525724";"Institute of Physics";Yes;Yes;2,410;Q1;24;48;90;5430;894;88;9,93;113,13;30,90;0;21;United Kingdom;Western Europe;"Institute of Physics";"2022-2025";"Biomaterials (Q1)";"Materials Science"
32;21872;"Eurosurveillance";journal;"15607917, 1025496X";"European Centre for Disease Prevention and Control (ECDC)";Yes;Yes;2,331;Q1;137;270;719;6438;4035;676;6,00;23,84;57,57;0;160;Sweden;Western Europe;"European Centre for Disease Prevention and Control (ECDC)";"2001-2025";"Epidemiology (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
33;21101126907;"Carbon Neutrality";journal;"27313948, 27888614";"Springer";Yes;Yes;2,321;Q1;18;39;74;3018;868;71;11,73;77,38;37,61;0;33;China;Asiatic Region;"Springer";"2022-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Energy; Environmental Science"
34;21101017898;"CSEE Journal of Power and Energy Systems";journal;"20960042";"China Electric Power Research Institute";Yes;Yes;2,265;Q1;47;220;493;7687;3615;493;6,53;34,94;27,81;0;93;United States;Northern America;"China Electric Power Research Institute";"2020-2024";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy (miscellaneous) (Q1)";"Energy; Engineering; Materials Science"
35;21101145520;"Cyborg and Bionic Systems";journal;"20971087, 26927632";"American Association for the Advancement of Science";Yes;Yes;2,263;Q1;28;63;103;3909;1545;102;17,31;62,05;33,02;0;9;United States;Northern America;"American Association for the Advancement of Science";"2020-2024";"Artificial Intelligence (Q1); Biomedical Engineering (Q1); Human-Computer Interaction (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
36;21101199471;"EES Catalysis";journal;"2753801X";"Royal Society of Chemistry";Yes;Yes;2,261;Q1;14;100;75;8820;553;74;7,37;88,20;32,18;0;65;United Kingdom;Western Europe;"Royal Society of Chemistry";"2023-2025";"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Electrochemistry (Q1); Fuel Technology (Q1); Physical and Theoretical Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemical Engineering; Chemistry; Energy"
37;19700175119;"Asian Journal of Pharmaceutical Sciences";journal;"18180876, 2221285X";"Shenyang Pharmaceutical University";Yes;Yes;2,251;Q1;76;60;188;5938;2336;180;12,19;98,97;44,01;0;31;China;Asiatic Region;"Shenyang Pharmaceutical University";"2009-2025";"Pharmaceutical Science (Q1); Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
38;21100826238;"Biofuel Research Journal";journal;"22928782";"";Yes;Yes;2,251;Q1;51;16;46;1736;597;46;16,00;108,50;26,74;0;16;Malaysia;Asiatic Region;"";"2014-2024";"Biotechnology (Q1); Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Environmental Engineering (Q1); Fuel Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1); Waste Management and Disposal (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Energy; Environmental Science"
39;18232;"Journal of Computer-Mediated Communication";journal;"10836101";"Oxford University Press";Yes;Yes;2,216;Q1;144;37;103;2304;808;103;6,40;62,27;42,35;0;13;United States;Northern America;"Oxford University Press";"1995-2025";"Communication (Q1)";"Social Sciences"
40;21101145619;"Ultrafast Science";journal;"20970331, 27658791";"American Association for the Advancement of Science";Yes;Yes;2,179;Q1;21;31;62;2133;628;61;10,02;68,81;29,71;0;1;United States;Northern America;"American Association for the Advancement of Science";"2021-2025";"Atomic and Molecular Physics, and Optics (Q1); Biophysics (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
41;21101182032;"Journal of Remote Sensing (United States)";journal;"26941589, 20970064";"American Association for the Advancement of Science";Yes;Yes;2,144;Q1;21;46;77;3452;652;75;6,93;75,04;35,61;1;18;United States;Northern America;"American Association for the Advancement of Science";"2021-2025";"Earth and Planetary Sciences (miscellaneous) (Q1); Geography, Planning and Development (Q1); Instrumentation (Q1)";"Earth and Planetary Sciences; Physics and Astronomy; Social Sciences"
42;19700200838;"Chemical Science";journal;"20416520, 20416539";"Royal Society of Chemistry";Yes;Yes;2,138;Q1;241;1897;4502;131002;33886;4489;7,20;69,06;32,30;0;405;United Kingdom;Western Europe;"Royal Society of Chemistry";"2010-2025";"Chemistry (miscellaneous) (Q1)";"Chemistry"
43;21101151586;"Molecular Horticulture";journal;"27309401";"BioMed Central Ltd";Yes;Yes;2,129;Q1;16;41;70;2940;610;53;6,77;71,71;35,71;0;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2021-2025";"Agronomy and Crop Science (Q1); Horticulture (Q1); Molecular Biology (Q1); Plant Science (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
44;21100420330;"Journal of Modern Power Systems and Clean Energy";journal;"21965420, 21965625";"State Grid Electric Power Research Institute Nanjing Branch";Yes;Yes;2,127;Q1;77;177;494;6356;3830;491;7,23;35,91;24,22;0;97;China;Asiatic Region;"State Grid Electric Power Research Institute Nanjing Branch";"2013-2025";"Energy Engineering and Power Technology (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy"
